№;Контекст;Русский;English;Español
308;RemoteUpdater;Ошибка опроса server job: %1;Server job polling error: %1;Error al consultar la tarea del servidor: %1
309;RemoteUpdater;next-update-job: отсутствует jobId;next-update-job: jobId missing;next-update-job: falta jobId
310;RemoteUpdater;Получена команда оператора: запускаю обновление;Operator command received: starting update;Comando del operador recibido: iniciando actualización
311;RemoteUpdater;Некорректный artifactUrl: %1;Invalid artifactUrl: %1;artifactUrl no válido: %1
312;RemoteUpdater;Не удалось открыть файл для загрузки: %1;Failed to open file for download: %1;No se pudo abrir el archivo para la descarga: %1
313;RemoteUpdater;Ошибка загрузки артефакта: %1;Artifact download error: %1;Error al descargar el artefacto: %1
314;RemoteUpdater;SHA256 не совпадает: expected=%1 actual=%2;SHA256 mismatch: expected=%1 actual=%2;SHA256 no coincide: expected=%1 actual=%2
315;RemoteUpdater;Не удалось посчитать payloadSha256;Failed to compute payloadSha256;No se pudo calcular payloadSha256
316;RemoteUpdater;payloadSha256 не совпадает: expected=%1 actual=%2;payloadSha256 mismatch: expected=%1 actual=%2;payloadSha256 no coincide: expected=%1 actual=%2
317;RemoteUpdater;Не удалось создать директорию распаковки;Failed to create extraction directory;No se pudo crear el directorio de extracción
318;RemoteUpdater;Не удалось запустить распаковку: %1;Failed to start extraction: %1;No se pudo iniciar la extracción: %1
319;RemoteUpdater;Ошибка распаковки: %1;Extraction error: %1;Error de extracción: %1
320;RemoteUpdater;В payload не найден исполняемый файл обновления;No update executable found in payload;No se encontró el ejecutable de actualización en el payload
321;RemoteUpdater;Не удалось открыть update-manifest.json;Failed to open update-manifest.json;No se pudo abrir update-manifest.json
322;RemoteUpdater;update-manifest.json должен быть JSON-объектом;update-manifest.json must be a JSON object;update-manifest.json debe ser un objeto JSON
323;RemoteUpdater;update-manifest.json: deployPaths пуст;update-manifest.json: deployPaths is empty;update-manifest.json: deployPaths está vacío
324;RemoteUpdater;Некорректный путь в manifest: %1;Invalid path in manifest: %1;Ruta no válida en el manifiesto: %1
325;RemoteUpdater;Путь из manifest не найден в payload: %1;Manifest path not found in payload: %1;Ruta del manifiesto no encontrada en el payload: %1
326;RemoteUpdater;Новый бинарник отсутствует: %1;New binary is missing: %1;Falta el nuevo binario: %1
327;RemoteUpdater;Не удалось создать backup каталог;Failed to create backup directory;No se pudo crear el directorio de copia de seguridad
328;RemoteUpdater;Manifest найден, но не дал файлов для deploy;Manifest found but yielded no files to deploy;Manifiesto encontrado pero sin archivos para desplegar
329;RemoteUpdater;Запрещённый путь в payload: %1;Forbidden path in payload: %1;Ruta prohibida en el payload: %1
330;RemoteUpdater;Симлинки в payload запрещены: %1;Symlinks in payload are forbidden: %1;Los enlaces simbólicos en el payload están prohibidos: %1
331;RemoteUpdater;Не удалось сделать backup: %1;Failed to make a backup: %1;No se pudo crear la copia de seguridad: %1
332;RemoteUpdater;Не удалось скопировать файл: %1;Failed to copy file: %1;No se pudo copiar el archivo: %1
333;RemoteUpdater;Не удалось удалить старый файл: %1;Failed to delete old file: %1;No se pudo eliminar el archivo antiguo: %1
334;RemoteUpdater;Не удалось заменить файл: %1;Failed to replace file: %1;No se pudo reemplazar el archivo: %1
335;RemoteUpdater;Не удалось выставить права на запуск для бинарника: %1;Failed to set execute permissions for binary: %1;No se pudieron establecer permisos de ejecución para el binario: %1
336;RemoteUpdater;Нужны открытая сессия и созданная задача;An open session and a created job are required;Se requieren una sesión abierta y una tarea creada
337;RemoteUpdater;artifactUrl пуст, получите payload;artifactUrl is empty, fetch the payload;artifactUrl está vacío, obtenga el payload
338;RemoteUpdater;Запуск обновления...;Starting update...;Iniciando actualización...
339;RemoteUpdater;Обновление применено;Update applied;Actualización aplicada
340;RemoteUpdater;UI update deployed;UI update deployed;UI update deployed
341;RemoteUpdater;Обновление успешно применено;Update applied successfully;Actualización aplicada correctamente
342;SecretKeysWindow;Эндоскопические функции;Endoscopic features;Funciones endoscópicas
343;SecretKeysWindow;Аргонусиленная коагуляция;Argon-enhanced coagulation;Coagulación asistida por argón
344;SecretKeysWindow;Секретные ключи;Secret keys;Claves secretas
345;SecretKeysWindow;Назад;back;atrás
346;SecretKeysWindow;Генерация ключа;Key generation;Generación de clave
347;SecretKeysWindow;Серийный номер:;Serial number:;Número de serie:
348;SecretKeysWindow;Тип аппарата:;Unit type:;Tipo de equipo:
349;SecretKeysWindow;Номер ключа:;Key number:;Número de clave:
350;SecretKeysWindow;Функция:;Feature:;Función:
351;SecretKeysWindow;Сгенерировать ключ;Generate key;Generar clave
352;SecretKeysWindow;✓ Ключ сгенерирован успешно!;✓ Key generated successfully!;✓ ¡Clave generada correctamente!
353;SecretKeysWindow;✗ Введите серийный номер;✗ Enter the serial number;✗ Introduzca el número de serie
354;SecretKeysWindow;Сгенерированный ключ:;Generated key:;Clave generada:
355;SecretKeysWindow;Проверка ключа;Key verification;Verificación de clave
356;SecretKeysWindow;Ключ для проверки:;Key to verify:;Clave a verificar:
357;SecretKeysWindow;Проверить ключ;Verify key;Verificar clave
358;SecretKeysWindow;✓ КЛЮЧ ВЕРНЫЙ! Проверка пройдена успешно;✓ KEY IS VALID! Verification passed;✓ ¡CLAVE CORRECTA! Verificación superada
359;SecretKeysWindow;✗ КЛЮЧ НЕВЕРНЫЙ! Проверка не пройдена;✗ KEY IS INVALID! Verification failed;✗ ¡CLAVE INCORRECTA! Verificación fallida
360;SecretKeysWindow;✗ Заполните все поля;✗ Fill in all fields;✗ Rellene todos los campos
361;SecretKeysWindow;ℹ️ Информация:;ℹ️ Information:;ℹ️ Información:
362;SecretKeysWindow;• Ключи генерируются криптографическим алгоритмом SHA-256;• Keys are generated with the SHA-256 cryptographic algorithm;• Las claves se generan con el algoritmo criptográfico SHA-256
363;SecretKeysWindow;• Для каждого типа аппарата и номера ключа формируется отдельный 12-значный код;• A separate 12-digit code is generated for each unit type and key number;• Para cada tipo de equipo y número de clave se genera un código de 12 dígitos
364;SecretKeysWindow;• Соседние номера гарантированно имеют различные ключи;• Adjacent serial numbers are guaranteed to have different keys;• Los números consecutivos tienen garantizadas claves diferentes
365;SerialNumberSettings;Введите серийный номер в диапазоне 260 000 - 1 000 000;Enter a serial number in the range 260,000 - 1,000,000;Introduzca un número de serie en el rango 260 000 - 1 000 000
366;SerialNumberSettings;Сохранено;Saved;Guardado
367;SerialNumberSettings;Не сохранено;Not saved;No guardado
368;SerialNumberSettings;СЕРИЙНЫЙ НОМЕР И ТИП;Serial number and type;Número de serie y tipo
369;SerialNumberSettings;Серийный номер;Serial number;Número de serie
370;SerialNumberSettings;Введите серийный номер;ENTER THE DEVICE SERIAL NUMBER;INGRESE EL NÚMERO DE SERIE DEL DISPOSITIVO
371;SerialNumberSettings;Тип аппарата;Unit type;Tipo de equipo
372;SerialNumberSettings;Комментарии;Comments;Comentarios
373;SerialNumberSettings;Дата производства, особенности;Production date, notes;Fecha de fabricación, particularidades
374;SerialNumberSettings;Вход без пароля;Login without password;Acceso sin contraseña
375;SerialNumberSettings;Сохранить;save;guardar
376;SerialNumberSettings;Назад;back;atrás
377;ServiceMenu;Сервисное меню;SERVICE SETTINGS;AJUSTES DE SERVICIO
378;ServiceMenu;СПЕЦ КОМАНДЫ;SPECIAL COMMANDS;COMANDOS ESPECIALES
379;ServiceMenu;Серийный номер;Serial number;Número de serie
380;ServiceMenu;Обновление ПО;Software update;Actualización de software
381;ServiceMenu;Приём файлов по Wi‑Fi;Receive files over Wi‑Fi;Recepción de archivos por Wi‑Fi
382;ServiceMenu;Настройки WiFi;Wi-Fi settings;Ajustes de Wi-Fi
383;ServiceMenu;Об аппарате;About the unit;Acerca del equipo
384;ServiceMenu;Проверка тач-скрина;Touchscreen calibration;Calibración de pantalla táctil
385;ServiceMenu;Лог обновлений;Update log;Registro de actualizaciones
386;ServiceMenu;Секретные ключи;Secret keys;Claves secretas
387;ServiceMenu;Управление опциями;Option management;Gestión de opciones
388;FeatureOptionsManager;Управление опциями;Option management;Gestión de opciones
389;FeatureOptionsManager;Назад;back;atrás
390;FeatureOptionsManager;Ключ №%1: ВКЛ;Key #%1: ON;Clave n.º %1: ACTIVADA
391;FeatureOptionsManager;Ключ №%1: ВЫКЛ;Key #%1: OFF;Clave n.º %1: DESACTIVADA
392;FeatureOptionsManager;Все ключи: ВКЛ;All keys: ON;Todas las claves: ACTIVADAS
393;FeatureOptionsManager;Все ключи: ВЫКЛ;All keys: OFF;Todas las claves: DESACTIVADAS
394;SettingsMenu;НАСТРОЙКИ;SETTINGS;AJUSTES
395;SettingsMenu;СВЕДЕНИЯ ОБ АППАРАТЕ;DEVICE INFORMATION;INFORMACIÓN DEL EQUIPO
396;SettingsMenu;ЯЗЫК;LANGUAGE;IDIOMA
397;SettingsMenu;ГРОМКОСТЬ;VOLUME;VOLUMEN
398;SettingsMenu;ДОПОЛНИТЕЛЬНЫЕ НАСТРОЙКИ;ADDITIONAL SETTINGS;AJUSTES ADICIONALES
399;SettingsMenu;РАЗБЛОКИРОВКА ЭНДОСКОПИИ;UNLOCK ENDOSCOPY;DESBLOQUEAR ENDOSCOPIA
400;SettingsMenu;НАЗАД;BACK;ATRÁS
401;SettingsMenu;Для разблокировки эндоскопических функций введите ключ;Enter the key to unlock endoscopic features;Introduzca la clave para desbloquear las funciones endoscópicas
402;SettingsMenu;123-456-789-012;123-456-789-012;123-456-789-012
403;SettingsMenu;Сначала сохраните серийный номер аппарата;Save the device serial number first;Guarde primero el número de serie del equipo
404;SettingsMenu;РАЗБЛОКИРОВАТЬ;UNLOCK;DESBLOQUEAR
405;AdditionalSettingsMenu;ДОПОЛНИТЕЛЬНЫЕ НАСТРОЙКИ;ADDITIONAL SETTINGS;AJUSTES ADICIONALES
406;AdditionalSettingsMenu;СЕРВИСНОЕ МЕНЮ;SERVICE MENU;MENÚ DE SERVICIO
407;AdditionalSettingsMenu;ЖУРНАЛ СОБЫТИЙ;EVENT LOG;REGISTRO DE EVENTOS
408;AdditionalSettingsMenu;НАСТРОЙКА ДАТЫ И ВРЕМЕНИ;DATE AND TIME;FECHA Y HORA
409;AdditionalSettingsMenu;НАЗАД;BACK;ATRÁS
410;AdditionalSettingsMenu;Для доступа к сервисным функциям введите пароль;Enter the password to access service functions;Introduzca la contraseña para acceder a las funciones de servicio
411;AdditionalSettingsMenu;Пароль;Password;Contraseña
412;AdditionalSettingsMenu;Неверный пароль;INCORRECT PASSWORD;CONTRASEÑA INCORRECTA
413;AdditionalSettingsMenu;ОТМЕНА;CANCEL;CANCELAR
414;AdditionalSettingsMenu;ВОЙТИ;LOG IN;ENTRAR
415;AdditionalSettingsMenu;АКТИВАЦИЯ ДОПОЛНИТЕЛЬНЫХ ОПЦИЙ;ACTIVATE ADDITIONAL OPTIONS;ACTIVAR OPCIONES ADICIONALES
416;AdditionalSettingsMenu;Для активации дополнительных опций введите ключ;Enter the key to activate additional options;Introduzca la clave para activar opciones adicionales
417;AdditionalSettingsMenu;123-456-789-012;123-456-789-012;123-456-789-012
418;AdditionalSettingsMenu;Контроллер активации недоступен;Activation controller is unavailable;El controlador de activación no está disponible
419;AdditionalSettingsMenu;Опция №%1 успешно активирована;Option #%1 activated successfully;Opción n.º %1 activada correctamente
420;AdditionalSettingsMenu;Извините, ключ не верный! Попробуйте ещё раз или обратитесь к производителю;Sorry, the key is invalid! Please try again or contact the manufacturer;Lo sentimos, la clave no es válida. Inténtelo de nuevo o contacte con el fabricante
421;AdditionalSettingsMenu;АКТИВИРОВАТЬ;ACTIVATE;ACTIVAR
422;AdditionalSettingsMenu;ЗАКРЫТЬ;CLOSE;CERRAR
423;AdditionalSettingsMenu;Сначала сохраните серийный номер аппарата;Save the device serial number first;Guarde primero el número de serie del equipo
424;SocketContainerV2;удалить;delete;eliminar
425;SocketContainerV2;Подтверждение удаления;Confirm deletion;Confirmar eliminación
426;SocketContainerV2;Текущий лист программы будет удалён. Продолжить?;The current program sheet will be deleted. Continue?;La hoja de programa actual se eliminará. ¿Continuar?
427;SocketContainerV2;ОТМЕНА;CANCEL;CANCELAR
428;SocketContainerV2;ПРИНЯТЬ;ACCEPT;ACEPTAR
429;SocketEditor;Подача импульсов СРЕДНЯЯ;MEDIUM pulse rate;Pulso MEDIO
430;SocketEditor;Подача импульсов РЕДКАЯ;SLOW pulse rate;Pulso LENTO
431;SocketEditor;Подача импульсов ЧАСТАЯ;FAST pulse rate;Pulso RÁPIDO
432;SocketEditor;Настройка КОАГУЛЯЦИИ для выхода %1;coagulation mode for output %1;modo de coagulación para la salida %1
433;SocketEditor;Настройка РЕЗАНИЯ для выхода %1;cut mode for output %1;modo de corte para la salida %1
434;SocketEditor;X;X;X
435;SocketEditor;Выберите режим;SELECT A MODE;SELECCIONA UN MODO
436;SocketEditor;▲;▲;▲
437;SocketEditor;▼;▼;▼
438;SocketEditor;Выберите инструмент;electrode;electrodo
439;SocketEditor;Установите мощность;SET POWER;ESTABLECER POTENCIA
440;SocketEditor;−;−;−
441;SocketEditor;+;+;+
442;SocketEditor;Установите эффект резания;Set cut eff.;Ajuste ef. de corte
443;SocketEditor;Установите эффект коагуляции;Set coag eff.;Ajuste ef. de coag.
444;SocketEditor;АВТОСТОП;AUTOSTOP;AUTOSTOP
445;SocketEditor;"В режиме АВТОСТОП инструмент активируется с помощью педали.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa mediante un interruptor de pie. El proceso se detiene automáticamente cuando se completa la coagulación.
446;SocketEditor;АВТОСТАРТ/СТОП;AUTO-START-STOP;AUTO-START-STOP
447;SocketEditor;В режиме АВТОСТАРТ/СТОП активация происходит автоматически без нажатия педали!;In AUTO-START-STOP mode activation occurs automatically without any footswitch actions!;¡En el modo AUTO-START-STOP, la activación se produce automáticamente sin ninguna acción del interruptor de pie!
448;SocketEditor;"В режиме АВТОСТОП инструмент активируется с помощью педали или держателя инструментов.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch or handle button. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa con el interruptor de pie o el botón del mango. El proceso se detiene automáticamente cuando se completa la coagulación.
449;SocketEditor;Задержка автозапуска;Autostart delay;Retardo de autoarranque
450;SocketEditor;0 сек;0 s;0 s
451;SocketEditor;0.5 сек;0.5 s;0.5 s
452;SocketEditor;1.0 сек;1.0 s;1.0 s
453;SocketEditor;1.5 сек;1.5 s;1.5 s
454;SocketEditor;Рекомендуемый уровень;Recommended level;Nivel recomendado
455;SocketEditor;ОТМЕНА;CANCEL;CANCELAR
456;SocketEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
457;SocketModel;Другой инструмент;Other electrode;Otro electrodo
458;SocketNames;БИ1;BI1;BI1
459;SocketNames;БИ2;BI2;BI2
460;SocketNames;МОНО1;MONO1;MONO1
461;SocketNames;МОНО2;MONO2;MONO2
462;SpecialCommands;СПЕЦ КОМАНДЫ;SPECIAL COMMANDS;COMANDOS ESPECIALES
463;SpecialCommands;Режимы с аргоном: ВКЛ;Argon modes: ON;Modos con argón: ON
464;SpecialCommands;Режимы с аргоном: ВЫКЛ;Argon modes: OFF;Modos con argón: OFF
465;SpecialCommands;UART: ВКЛ;UART: ON;UART: ON
466;SpecialCommands;Вывод UART;UART output;Salida UART
467;SpecialCommands;ЦП: ВКЛ;CPU: ON;CPU: ON
468;SpecialCommands;Вывод загрузки ЦП;CPU load display;Indicador de carga de CPU
469;SpecialCommands;Выкл;Off;Apagado
470;SpecialCommands;Выход в Linux;Exit to Linux;Salir a Linux
471;SpecialCommands;Удалить все пользовательские программы;Delete user programs;Eliminar programas de usuario
472;SpecialCommands;Назад;back;atrás
473;SpecialCommands;Подтверждение удаления;Confirm deletion;Confirmar eliminación
474;SpecialCommands;"Удалить все пользовательские программы?
Это действие необратимо.";All user programs will be DELETED! Continue?;¡Todos los programas de usuario serán BORRADOS! ¿Continuar?
475;StartupInfoScreen;Не указан;Not specified;No especificado
476;StartupInfoScreen;Информация об аппарате;Unit information;Información del equipo
477;StartupInfoScreen;Тип аппарата;Unit type;Tipo de equipo
478;StartupInfoScreen;Серийный номер;Serial number;Número de serie
479;StartupInfoScreen;Версии ПО;Software versions;Versiones de software
480;StartupInfoScreen;НАЗАД;BACK;ATRÁS
481;StatesSocket;Другой инструмент;Other electrode;Otro electrodo
482;StatesSocket; АВТОСТОП; AUTOSTOP; AUTOSTOP
483;StatesSocket; АВТО-СТ-СТОП; AUTO-ST-STOP; AUTO-ST-STOP
484;StmUpdater;Ошибка открытия hex-файла;Failed to open hex file;Error al abrir el archivo hex
485;StmUpdater;Ошибка чтения hex-файла;Failed to read hex file;Error al leer el archivo hex
486;StmUpdater;Ошибка контрольной суммы hex-строки;Hex line checksum error;Error de suma de comprobación de la línea hex
487;StmUpdater;Ошибка символов в hex-файле;Invalid characters in hex file;Caracteres no válidos en el archivo hex
488;StmUpdater;Ошибка завершения hex-файла;Hex file termination error;Error de finalización del archivo hex
489;StyledSwitch;Wi-Fi;Wi-Fi;Wi-Fi
490;TouchScreenTest;Коснитесь экрана для проверки;Touch the screen to test;Comprobación de pantalla táctil
491;TouchScreenTest;"нажато: %1   отпущено: %2   задержка: %3   движение: %4   залипание: %5
Последние события:
%6";"pressed: %1   released: %2   delay: %3   moves: %4   stuck: %5
Recent events:
%6";"pulsado: %1   soltado: %2   retardo: %3   movimiento: %4   bloqueo: %5
Últimos eventos:
%6"
492;TouchScreenTest;%1 мс (20);%1 ms (20);%1 ms (20)
493;TouchScreenTest;—;—;—
494;TouchScreenTest;Нажатие: (%1, %2);Press: (%1, %2);Pulsación: (%1, %2)
495;TouchScreenTest;нажатие (%1, %2);press (%1, %2);pulsación (%1, %2)
496;TouchScreenTest;Поздний release после сброса: %1 мс;Late release after reset: %1 ms;Liberación tardía tras el restablecimiento: %1 ms
497;TouchScreenTest;поздний release (%1, %2), %3 ms;late release (%1, %2), %3 ms;liberación tardía (%1, %2), %3 ms
498;TouchScreenTest;Время удержания: %1 мс;Hold time: %1 ms;Tiempo de pulsación: %1 ms
499;TouchScreenTest;отпущено (%1, %2), задержка %3 мс;released (%1, %2), delay %3 ms;soltado (%1, %2), retardo %3 ms
500;TouchScreenTest;Событие отменено системой;Event cancelled by the system;Evento cancelado por el sistema
501;TouchScreenTest;отменено системой;cancelled by the system;cancelado por el sistema
502;TouchScreenTest;Подозрение на зависание: %1 мс;Possible freeze: %1 ms;Posible bloqueo: %1 ms
503;TouchScreenTest;сброс по таймеру %1 ms;timer reset %1 ms;restablecido por temporizador %1 ms
504;TouchScreenTest;Назад;back;atrás
505;UartToQmlBridge;Ошибка порта: %1;Port error: %1;Error de puerto: %1
506;UpdateDialog;Обнаружен файл;File detected;Archivo detectado
507;UpdateDialog;Версия: ;Version: ;Versión: 
508;UpdateDialog;Предыдущая Версия: ;Previous version: ;Versión anterior: 
509;UpdateDialog;Обновить?;Update?;¿Actualizar?
510;UpdateDialog;Да;Yes;Sí
511;UpdateDialog;Нет;No;No
512;VideoPlayer;Ошибка: Неподдерживаемый формат видео;Error: Unsupported video format;Error: formato de vídeo no compatible
513;VideoPlayer;Ошибка воспроизведения: ;Playback error: ;Error de reproducción: 
514;VideoPlayer;Загрузка...;Loading...;Cargando...
515;VideoPlayer;Нажмите ▶ для воспроизведения;Press ▶ to play;Pulse ▶ para reproducir
516;VideoPlayer;Нет видеофайлов в папке ;No video files in folder ;No hay archivos de vídeo en la carpeta 
517;VideoPlayer;Нет видео;No video;Sin vídeo
518;WiFiConnector;Настройки сети;Network settings;Configuración de red
519;WiFiConnector;Доступные Wi-Fi сети;Available Wi-Fi networks;Redes Wi-Fi disponibles
520;WiFiConnector;Общие;General;General
521;WiFiConnector;Wi-Fi;Wi-Fi;Wi-Fi
522;WiFiConnector;VPN FOTEK;VPN FOTEK;VPN FOTEK
523;WiFiConnector;Текущий IP-адрес устройства:;Current device IP address:;Dirección IP actual del dispositivo:
524;WiFiConnector;Отключиться от сети;Disconnect from network;Desconectarse de la red
525;WiFiConnector;Назад;back;atrás
526;WiFiPassRequest;ВВЕДИТЕ ПАРОЛЬ;ENTER THE PASSWORD;INTRODUZCA LA CONTRASEÑA
527;WiFiPassRequest;Подключить;Connect;Conectar
528;WiFiPassRequest;Отмена;Cancel;Cancelar
529;WifiFileReceive;Модуль интерфейса;Interface module;Módulo de interfaz
530;WifiFileReceive;Модуль управления и связи;Communication module;Módulo de comunicación
531;WifiFileReceive;Модуль аргоновый;Argon module;Módulo de argón
532;WifiFileReceive;Модуль генератора;Generator;GENERADOR
533;WifiFileReceive;Медиафайлы;Media files;Archivos multimedia
534;WifiFileReceive;Приём файлов обновления;Receive update files;Recepción de archivos de actualización
535;WifiFileReceive;1. Включите приём;1. Enable receiving;1. Active la recepción
536;WifiFileReceive;2. Подключитесь к Wi‑Fi;2. Connect to Wi‑Fi;2. Conéctese a la red Wi‑Fi
537;WifiFileReceive;3. Откройте страницу загрузки;3. Open the upload page;3. Abra la página de carga
538;WifiFileReceive;"Аппарат создаст временную точку доступа ""ONYX-AM"",
можете подключиться к ней, используя QR-код справа";"The unit will create a temporary access point ""ONYX-AM"",
you can connect to it using the QR code on the right";"El equipo creará un punto de acceso temporal ""ONYX-AM"",
puede conectarse a él usando el código QR de la derecha"
539;WifiFileReceive;"Отсканируйте QR-код или выберите сеть ONYX-AM в списке Wi‑Fi,
после обнаружения подключения, QR-код изменится";"Scan the QR code or select the ONYX-AM network in the Wi‑Fi list,
once a connection is detected the QR code will change";"Escanee el código QR o seleccione la red ONYX-AM en la lista de Wi‑Fi,
cuando se detecte la conexión, el código QR cambiará"
540;WifiFileReceive;Соединение установлено! Отсканируйте QR-код или откройте адрес вручную в любом браузере;Connection established! Scan the QR code or open the address manually in any browser;¡Conexión establecida! Escanee el código QR o abra la dirección manualmente en cualquier navegador
541;WifiFileReceive;Адрес загрузки;Upload address;Dirección de carga
542;WifiFileReceive;Параметры Wi‑Fi;Wi‑Fi parameters;Parámetros de Wi‑Fi
543;WifiFileReceive; · пароль: ; · password: ; · contraseña: 
544;WifiFileReceive;Серийный номер: ;Serial number: ;Número de serie: 
545;WifiFileReceive; · ; · ; · 
546;WifiFileReceive;Тип аппарата: ;Unit type: ;Tipo de equipo: 
547;WifiFileReceive; · Wi‑Fi: ; · Wi‑Fi: ; · Wi‑Fi: 
548;WifiFileReceive;вкл;on;activado
549;WifiFileReceive;выкл;off;desactivado
550;WifiFileReceive;Выключить приём;Disable receiving;Desactivar recepción
551;WifiFileReceive;Включить приём;Enable receiving;Activar recepción
552;WifiFileReceive;QR появится после включения приёма;QR will appear after receiving is enabled;El QR aparecerá tras activar la recepción
553;WifiFileReceive;Обнаружен релиз: ;Release detected: ;Versión detectada: 
554;WifiFileReceive;Компонент;Component;Componente
555;WifiFileReceive;Обнаружено;Detected;Detectado
556;WifiFileReceive;Текущая версия;Current version;Versión actual
557;WifiFileReceive;Загрузка...;Loading...;Cargando...
558;WifiFileReceive;Последняя загрузка: файлов: ;Last upload: files: ;Última carga: archivos: 
559;WifiFileReceive;Назад;back;atrás
560;logUpdate;Журнал обновлений недоступен;Update log unavailable;Registro de actualizaciones no disponible
561;logUpdate;Записей нет;No records;Sin registros
562;logUpdate;Лог обновлений;Update log;Registro de actualizaciones
563;logUpdate;Назад;back;atrás
564;main;Ты волшебник, Гарри!;You're a wizard, Harry!;¡Eres un mago, Harry!
565;main;Ошибка связи: передача не выполнена;Communication error: transmission failed;Error de comunicación: transmisión fallida
566;main;Ошибка связи: нет ответа;Communication error: no response;Error de comunicación: sin respuesta
567;main;Ошибка связи: неверный ответ;Communication error: invalid response;Error de comunicación: respuesta no válida
568;main;Ошибка связи: неверная длина пакета;Communication error: invalid packet length;Error de comunicación: longitud de paquete no válida
569;main;Ошибка связи: CRC не совпадает;Communication error: CRC mismatch;Error de comunicación: CRC no coincide
570;main;Активация остановлена: холостой ход (автостоп);Activation stopped: idle (autostop);Activación detenida: marcha en vacío (autostop)
571;main;Активация остановлена: короткое замыкание бранш;Activation stopped: jaw short circuit;Activación detenida: cortocircuito de las mordazas
572;main;Активация остановлена: обрыв нейтрального электрода;Activation stopped: neutral electrode break;Activación detenida: desconexión del electrodo neutro
573;main;Активация остановлена: закончился аргон;Activation stopped: argon depleted;Activación detenida: argón agotado
574;main;Активация остановлена: непроходимость газового тракта;Activation stopped: gas line obstruction;Activación detenida: obstrucción del circuito de gas
575;main;Активация остановлена: ошибка генератора;Activation stopped: generator error;Activación detenida: error del generador
576;main;Ошибка: модуль связи не принимает сигналы от МИФ;Error: communication module receives no signals from MIF;Error: el módulo de comunicación no recibe señales del MIF
577;main;Ошибка: генератор не отвечает;Error: generator not responding;Error: el generador no responde
578;main;Ошибка: газовый модуль не отвечает;Error: gas module not responding;Error: el módulo de gas no responde
579;main;Ошибка: не отвечает радиомодуль;Error: radio module not responding;Error: el módulo de radio no responde
580;main;Ошибка: кнопки или педали зажаты до старта;Error: buttons or pedals held down before start;Error: botones o pedales presionados antes del inicio
581;main;Ошибка: МК НЭ не отвечает;Error: NE MCU not responding;Error: el MCU del EN no responde
582;main;Ошибка: МК раскачки не отвечает;Error: driver MCU not responding;Error: el MCU del excitador no responde
583;main;Ошибка: питание НЭ 5В не соответствует норме;Error: NE 5V supply out of range;Error: alimentación de 5 V del EN fuera de rango
584;main;Ошибка: питание НЭ 3,3В не соответствует норме;Error: NE 3.3V supply out of range;Error: alimentación de 3,3 V del EN fuera de rango
585;main;Ошибка: перегрев контроллера НЭ;Error: NE controller overheated;Error: sobrecalentamiento del controlador del EN
586;main;Ошибка: обновление не выполнено;Error: update not completed;Error: actualización no realizada
587;main;Ошибка: нет рабочей прошивки МУС;Error: no working MUS firmware;Error: no hay firmware operativo del MUS
588;main;Критичная ошибка: ИСН при включении;Critical error: ISN at power-on;Error crítico: ISN al encender
589;main;Критичная ошибка: АЦП1 (напряжение контура);Critical error: ADC1 (circuit voltage);Error crítico: ADC1 (tensión del circuito)
590;main;Критичная ошибка: АЦП2 (ток контура);Critical error: ADC2 (circuit current);Error crítico: ADC2 (corriente del circuito)
591;main;Критичная ошибка: АЦП3 (ток генератора);Critical error: ADC3 (generator current);Error crítico: ADC3 (corriente del generador)
592;main;Критичная ошибка: АЦП4 (напряжение ИСН);Critical error: ADC4 (ISN voltage);Error crítico: ADC4 (tensión del ISN)
593;main;Критичная ошибка: реле;Critical error: relay;Error crítico: relé
594;main;Критичная ошибка: ИСН при нормальной работе;Critical error: ISN during normal operation;Error crítico: ISN durante el funcionamiento normal
595;main;Критичная ошибка: не найден резонанс при калибровке НЭ;Critical error: no resonance found during NE calibration;Error crítico: no se encontró resonancia durante la calibración del EN
596;main;Критичная ошибка: АЦП схемы НЭ;Critical error: NE circuit ADC;Error crítico: ADC del circuito del EN
597;main;Ошибка устройства (код 0x;Device error (code 0x;Error del dispositivo (código 0x
598;main;;;
599;main;СВОБОДНЫЕ УСТАНОВКИ;FREE MODE SETTINGS;CONFIGURACIÓN DEL MODO LIBRE
600;main;Последние установки;Last settings;Ajustes recientes
601;main;Питание будет выключено через %1 секунд;Power will be turned off in %1 seconds;La alimentación se apagará en %1 segundos
602;main;ОТМЕНА;CANCEL;CANCELAR
603;main;ВЫКЛЮЧИТЬ;POWER OFF;APAGAR
604;main;"Внимание! Текущая программа

%1

будет перезаписана";"ATTENTION! The current program

%1

will be overwritten";"¡ATENCIÓN! El programa actual

%1

se sobrescribirá"
605;main;ПРИНЯТЬ;ACCEPT;ACEPTAR
606;main;Эндоскопические программы не могут быть использованы совместно с другими программами;Endoscopic programs cannot be used together with other programs;Los programas endoscópicos no pueden usarse junto con otros programas
607;updateWindow;Неизвестный модуль;Unknown module;Módulo desconocido
